year,month,primary_sector,turnover_eur,num_taxpayers
2023.0,9.0,Ndertimtaria,190092.93,2.0
2024.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,367519.5,14.0
2022.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,542310.48,2.0
2024.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,50728.74,2.0
2024.0,2.0,Aktivitetet e tjera sherbyese,5557.88,1.0
2020.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2150.0,3.0
2023.0,7.0,Akomodimi dhe sherbimi ushqimor,19743.89,2.0
2023.0,2.0,Bujqesia;Pylltaria dhe Peshkimi,76240.81,3.0
2023.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,134123.05,9.0
2025.0,6.0,Industria perpunuese,1940.0,1.0
2025.0,12.0,Industria perpunuese,13283.7,4.0
2023.0,7.0,Industria perpunuese,165.26,3.0
2021.0,4.0,Ndertimtaria,26745.1,3.0
2024.0,3.0,Ndertimtaria,0.0,1.0
2024.0,6.0,Transporti dhe magazinimi,18498.81,6.0
2020.0,6.0,Industria perpunuese,0.0,2.0
2022.0,8.0,Ndertimtaria,5971.42,3.0
2020.0,5.0,Industria perpunuese,0.0,2.0
2022.0,12.0,Industria perpunuese,53208.29,1.0
2022.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,31943.52,2.0
2025.0,8.0,Industria perpunuese,50791.03,1.0
2024.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,1691.04,1.0
2024.0,11.0,Aktivitetet e tjera sherbyese,31231.27,1.0
2024.0,9.0,Industria perpunuese,4576.5,1.0
2020.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,7293.55,1.0
2021.0,12.0,Sherbimet administrative dhe mbeshtetese,10251.65,2.0
2023.0,6.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.0,1.0
2019.0,6.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.0,2.0
2020.0,4.0,Ndertimtaria,17923.73,3.0
2022.0,7.0,Ndertimtaria,51277.27,8.0
2020.0,11.0,"Aktivitetet profesionale, shkencore dhe teknike",32984.61,4.0
2019.0,9.0,Industria perpunuese,0.0,2.0
2024.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,42201.43,2.0
2022.0,9.0,Aktivitetet e patundshmerise,7757.2,1.0
2024.0,8.0,Ndertimtaria,25425.45,2.0
2021.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.0,1.0
2024.0,1.0,Akomodimi dhe sherbimi ushqimor,49171.89,4.0
2022.0,2.0,"Aktivitetet profesionale, shkencore dhe teknike",3403746.83,46.0
2025.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,26215.08,5.0
2024.0,1.0,Transporti dhe magazinimi,1560.0,1.0
2020.0,11.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,0.0,1.0
2021.0,4.0,Ndertimtaria,30797.22,4.0
2019.0,6.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,12823.75,8.0
2024.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,131881.46,2.0
2019.0,10.0,Transporti dhe magazinimi,0.0,2.0
2022.0,2.0,Bujqesia;Pylltaria dhe Peshkimi,985.0,2.0
