year,month,primary_sector,municipality,registration_status,num_taxpayers,turnover_eur,invalid_reason,year_was_imputed,month_was_imputed,num_taxpayers_was_imputed,turnover_eur_was_imputed,primary_sector_was_imputed,municipality_was_imputed,registration_status_was_imputed,year_month,turnover_eur_log1p
2019.0,8.0,Industria nxjerrese,MITROVICË,SH.P.K.,1.0,0.0,,False,False,False,False,False,False,False,2019-08,0.0
2021.0,10.0,Transporti dhe magazinimi,VITI,SH.P.K.,1.0,1518.64,,False,False,False,False,False,False,False,2021-10,7.326228743683538
2020.0,6.0,"Aktivitetet profesionale, shkencore dhe teknike",SKENDERAJ,SH.P.K.,1.0,736.0,,False,False,False,False,False,False,False,2020-06,6.602587892189336
2025.0,3.0,Akomodimi dhe sherbimi ushqimor,KLINË,INDIVIDUAL,3.0,9537.97,,False,False,False,False,False,False,False,2025-03,9.163140792156511
2022.0,5.0,Informimi dhe komunikimi,FERIZAJ,SH.P.K.,3.0,17763.89,,False,False,False,False,False,False,False,2022-05,9.784979316485494
2020.0,8.0,Arsimi,PRISHTINË,ORTAKËRIA E PËRGJ.,1.0,0.0,,False,False,False,False,False,False,False,2020-08,0.0
2025.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRIZREN,SH.P.K.,1.0,29955.66,,False,False,False,False,False,False,False,2025-02,10.30750694944061
2020.0,12.0,Industria perpunuese,KAMENICË,INDIVIDUAL,2.0,9705.09,,False,False,False,False,False,False,False,2020-12,9.180508802537048
2022.0,2.0,Informimi dhe komunikimi,PRISHTINË,SH.P.K.,3.0,2182.88,,False,False,False,False,False,False,False,2022-02,7.688858390300316
2022.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,MITROVICË,SH.P.K.,11.0,328803.54,,False,False,False,False,False,False,False,2022-07,12.703218749854724
2022.0,6.0,Industria perpunuese,VITI,ORTAKËRIA E PËRGJ.,1.0,0.0,,False,False,False,False,False,False,False,2022-06,0.0
2021.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRIZREN,INDIVIDUAL,259.0,1269057.97,,False,False,False,False,False,False,False,2021-09,14.053786215277992
2020.0,2.0,Bujqesia;Pylltaria dhe Peshkimi,SKENDERAJ,INDIVIDUAL,1.0,11577.26,,False,False,False,False,False,False,False,2020-02,9.356884480769605
2024.0,6.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GRAÇANICË,INDIVIDUAL,1.0,18333.89,,False,False,False,False,False,False,False,2024-06,9.816561081032834
2024.0,4.0,Akomodimi dhe sherbimi ushqimor,VUSHTRRI,INDIVIDUAL,4.0,6192.01,,False,False,False,False,False,False,False,2024-04,8.73117651566306
