year,month,registration_status,turnover_eur,num_taxpayers
2020.0,5.0,SH.P.K.,11589.99,1.0
2021.0,5.0,SH.P.K.,67141.19,3.0
2019.0,10.0,SHOQËRI AKCIONARE,326152.6,1.0
2025.0,5.0,INDIVIDUAL,15284.05,4.0
2024.0,1.0,KOMPANI E HUAJ,319835.0,1.0
2019.0,1.0,SH.P.K.,59481.56,1.0
2023.0,10.0,INDIVIDUAL,102763.43,6.0
2022.0,6.0,SH.P.K.,4620.0,1.0
2025.0,1.0,SH.P.K.,17853.47,2.0
2022.0,10.0,INDIVIDUAL,5812.03,2.0
2023.0,11.0,INDIVIDUAL,4002.07,1.0
2023.0,7.0,INDIVIDUAL,142865.52,3.0
2025.0,3.0,INDIVIDUAL,78109.63,14.0
2021.0,6.0,INDIVIDUAL,1260.0,2.0
2025.0,11.0,SH.P.K.,285989.16,11.0
2021.0,6.0,INDIVIDUAL,5847.5,4.0
2025.0,10.0,KOMPANI E HUAJ,759.92,1.0
2019.0,7.0,INDIVIDUAL,2211.86,1.0
2023.0,6.0,ORTAKËRIA E PËRGJ.,596831.05,1.0
2021.0,10.0,SH.P.K.,72428.62,3.0
2024.0,12.0,SH.P.K.,0.0,6.0
2023.0,8.0,SH.P.K.,0.0,1.0
2025.0,8.0,SH.P.K.,0.0,1.0
2023.0,11.0,SH.P.K.,1496916.9,1.0
2024.0,9.0,INDIVIDUAL,4356.5,2.0
2020.0,4.0,INDIVIDUAL,6264.5,1.0
2025.0,12.0,SH.P.K.,3579.7,1.0
2022.0,11.0,INDIVIDUAL,0.0,1.0
2023.0,12.0,INDIVIDUAL,2471.52,1.0
2024.0,5.0,SH.P.K.,8950.0,1.0
2019.0,5.0,SH.P.K.,1100.0,1.0
2019.0,5.0,INDIVIDUAL,49863.41,1.0
2023.0,9.0,SH.P.K.,2085.82,4.0
2020.0,3.0,INDIVIDUAL,4323.25,2.0
2019.0,1.0,ORTAKËRIA E PËRGJ.,828267.42,2.0
2021.0,10.0,SH.P.K.,43704.5,2.0
